step,train_loss,val_loss,val_perplexity,learning_rate,tokens_per_sec,total_tokens,grad_norm,timestamp
0,12.007951,N/A,N/A,2.50e-07,0.00,20480,N/A,2025-07-26 16:21:32
219,7.201511,N/A,N/A,5.00e-05,31737.69,814017450051474618924272764059648,4505600,N/A,2025-07-26 21:12:28
220,6.621431,N/A,N/A,5.00e-05,31592.77,1628034900102949237848545528119296,4526080,1.0000,2025-07-26 21:12:28
221,6.941807,N/A,N/A,5.00e-05,31587.25,3256069800205898475697091056238592,4546560,N/A,2025-07-26 21:12:29
222,4.733331,N/A,N/A,5.00e-05,31599.59,3256069800205898475697091056238592,4567040,N/A,2025-07-26 21:12:30
223,5.997392,N/A,N/A,5.00e-05,31615.17,3256069800205898475697091056238592,4587520,N/A,2025-07-26 21:12:31
224,6.118290,N/A,N/A,5.00e-05,31706.38,3256069800205898475697091056238592,4608000,N/A,2025-07-26 21:12:31
225,5.668291,N/A,N/A,5.00e-05,31701.06,6512139600411796951394182112477184,4628480,N/A,2025-07-26 21:12:32
226,6.371282,N/A,N/A,5.00e-05,31711.46,6512139600411796951394182112477184,4648960,N/A,2025-07-26 21:12:33
227,6.339893,N/A,N/A,5.00e-05,31732.74,6512139600411796951394182112477184,4669440,N/A,2025-07-26 21:12:33
228,5.963398,N/A,N/A,5.00e-05,31744.88,6512139600411796951394182112477184,4689920,N/A,2025-07-26 21:12:34
229,6.344919,N/A,N/A,5.00e-05,31901.53,6512139600411796951394182112477184,4710400,N/A,2025-07-26 21:12:35
230,7.614730,N/A,N/A,5.00e-05,31794.16,13024279200823593902788364224954368,4730880,1.0000,2025-07-26 21:12:36
231,5.809003,N/A,N/A,5.00e-05,31611.68,26048558401647187805576728449908736,4751360,N/A,2025-07-26 21:12:36
232,7.283935,N/A,N/A,5.00e-05,31613.35,26048558401647187805576728449908736,4771840,N/A,2025-07-26 21:12:37
233,7.192867,N/A,N/A,5.00e-05,31633.21,26048558401647187805576728449908736,4792320,N/A,2025-07-26 21:12:38
234,7.874148,N/A,N/A,5.00e-05,31598.63,52097116803294375611153456899817472,4812800,N/A,2025-07-26 21:12:38
235,7.933828,N/A,N/A,5.00e-05,31411.60,104194233606588751222306913799634944,4833280,N/A,2025-07-26 21:12:39
236,5.797227,N/A,N/A,5.00e-05,31409.68,208388467213177502444613827599269888,4853760,N/A,2025-07-26 21:12:40
237,6.246078,N/A,N/A,5.00e-05,31427.27,208388467213177502444613827599269888,4874240,N/A,2025-07-26 21:12:41
238,7.247705,N/A,N/A,5.00e-05,31414.41,416776934426355004889227655198539776,4894720,N/A,2025-07-26 21:12:41
239,6.719397,N/A,N/A,5.00e-05,31514.83,416776934426355004889227655198539776,4915200,N/A,2025-07-26 21:12:42
